y1,y2,x5,x12,b10,b11,e10,e11,l10,l11,g4,g8,ib8,ib10
89.75,359,5.3250,4.1209,5,5.5,95.7000,94.6000,2272678.8030,2142779.3650,3223.4222,3417.4566,113761.0000,108233.0000
98.75,395,5.6429,4.0864,5,5,96.0000,95.7000,2488725.8640,2272678.8030,3382.6950,3437.7927,104172.0000,115645.0000
86.25,345,5.1960,4.1547,4.5,5,98.7000,96.0000,2246128.1550,2488725.8640,3576.9056,3535.1084,73020.0000,113761.0000
75,300,5.2796,4.1089,4.5,4.5,99.0000,98.7000,2272720.1540,2246128.1550,3530.6478,3160.4181,80506.0000,104172.0000
64.5,258,5.4606,4.1489,4.25,4.5,90.4000,99.0000,2415468.0040,2272720.1540,3569.5045,3223.4222,87403.0000,73020.0000
61.5,246,5.3989,4.3404,3.75,4.25,57.4000,90.4000,2616428.2700,2415468.0040,3680.5964,3382.6950,95056.0000,80506.0000
69,276,5.6252,4.8832,3.75,3.75,62.2000,57.4000,2800959.0240,2616428.2700,3695.4058,3576.9056,102912.0000,87403.0000
71,284,5.4172,5.3250,3,3.75,74.1000,62.2000,2966913.9220,2800959.0240,3811.0009,3530.6478,99369.0000,95056.0000
86.75,347,5.1449,5.6429,2.25,3,82.5000,74.1000,3029676.8020,2966913.9220,3668.9821,3569.5045,94603.0000,102912.0000
86,344,5.3556,5.1960,2.25,2.25,91.7000,82.5000,3130235.7140,3029676.8020,3809.1933,3680.5964,93952.0000,99369.0000
87.25,349,4.2492,5.2796,2,2.25,96.6000,91.7000,3233306.0640,3130235.7140,4125.7082,3695.4058,108893.0000,94603.0000
94.75,379,4.2660,5.4606,2,2,97.5000,96.6000,3241505.5350,3233306.0640,3929.8661,3811.0009,119017.0000,93952.0000
87.75,351,4.2828,5.3989,2,2,96.7000,97.5000,3319949.0140,3241505.5350,3862.8573,3668.9821,115068.0000,108893.0000
92.25,369,4.2996,5.6252,2,2,96.1000,96.7000,3477853.6780,3319949.0140,3850.1420,3809.1933,110035.0000,119017.0000
84,336,4.3163,5.4172,2,2,96.4000,96.1000,3201167.9940,3477853.6780,3991.3544,4125.7082,116634.0000,115068.0000
71.75,287,4.3331,5.1449,2,2,95.1000,96.4000,3169839.1100,3201167.9940,3969.3185,3929.8661,118894.0000,110035.0000
64.5,258,4.3499,5.3556,2,2,87.5000,95.1000,3182236.8600,3169839.1100,3906.9954,3862.8573,126216.0000,116634.0000
55.25,221,4.3667,4.2492,2.75,2,90.8000,87.5000,3206855.8140,3182236.8600,3927.3415,3850.1420,126802.0000,118894.0000
55.75,223,4.3835,4.2660,2.75,2.75,93.9000,90.8000,3212537.4520,3206855.8140,3992.6133,3991.3544,121801.0000,126216.0000
64.5,258,4.4002,4.2828,3.5,2.75,96.3000,93.9000,3382828.4550,3212537.4520,4035.8989,3969.3185,118781.0000,126802.0000
71.75,287,4.4170,4.2996,4.25,3.5,100.4000,96.3000,3413221.0730,3382828.4550,3715.5581,3906.9954,110979.0000,121801.0000
